S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f,LLM
对政治职位上瘾总是令人担忧的，因为当领导人不再认识到权力限制的时候，民主就会变成专制。,权力限制的时候,"The addiction to political power is always worrying, because when leaders fail to recognize the limits of their power, democracy can easily become despotism.",when power is restricted,0,,,Llama-2-70b-chat
饮水、卫生设施、基本医疗保健和教育,基本医疗保健和教育,"Drinking water, sanitation facilities, basic healthcare, and education",Basic healthcare and education,0,,,Llama-2-70b-chat
那是一个获得真相的时刻，从内部清洗斯大林主义的残暴。,一个获得真相的时刻,"That was a moment of truth, a thorough cleansing of the brutal legacy of Stalinism from within.",A moment of truth,0,,,Llama-2-70b-chat
自从在1999年通过一场政变获得权力后，穆沙拉夫至少已经躲过了三次严重的暗伤图谋。,三次严重的暗伤图谋,"Since coming to power through a coup in 1999, Muammar Gaddafi has survived at least three assassination attempts.",Three serious assassination attempts,1,,serious,Llama-2-70b-chat
但是，在国家之间，即便是核威慑也比乍看上去更复杂，在网络空间中的威慑更是如此。,在网络空间中的威慑,"However, between nations, even nuclear deterrence is more complex, and cyber deterrence is even more so.",Cyber deterrence,0,,,Llama-2-70b-chat
未来建筑业的崩溃和家庭财富的巨大损失,建筑业的崩溃和家庭财富,The future collapse of the construction industry and the massive loss of family wealth,Collapse of the construction industry and family wealth,0,,,Llama-2-70b-chat
虽然古巴政府已封堵了该博客所在的网站，但它还是以多种语言在全世界广泛传播，在古巴国内也以光盘和闪存为传播途径。,虽然古巴政府已封堵了该歌所在的网站，但它还是以多种语言在全世界广泛传播，在古巴国内也以光盘和闪存为传播途径。,"Although the Cuban government has blocked the website where this blog is located, it is still widely disseminated throughout the world in various languages, and is also distributed within Cuba through CDs and flash drives.","Although the Cuban government has blocked the website where the song is located, it is still widely disseminated throughout the world in various languages, and is also distributed within Cuba through CDs and flash drives.",0,,,Llama-2-70b-chat
赫尔及东北的整个英格兰北部地区,东北的整个英格兰北部地区,Hartlepool and the entire northeastern part of England,Northeast England,1,entire,,Llama-2-70b-chat
在某种程度上，这是一个生死攸关的问题，在更普遍意义上，它决定了我们是否能实现生活中的成就与满足。,一个生死攸关的问题,"To a certain extent, this is a matter of life and death, and in a broader sense, it determines whether we can achieve fulfillment and satisfaction in life.",A matter of life and death,0,,,Llama-2-70b-chat
美国总统特朗普放大了这些风险，他在外交政策上犯了许多错误，既没能处理好朝鲜危机，还威胁要废除伊朗核协议。,伊朗核协议,"US President Trump has magnified these risks. He has made many mistakes in foreign policy, failed to handle the North Korea crisis, and threatened to scrap the Iran nuclear deal.",The Iran nuclear deal.,0,,,ERNIE-Bot-3.5
对政治职位上瘾总是令人担忧的，因为当领导人不再认识到权力限制的时候，民主就会变成专制。,权力限制的时候,"It is always worrying to be addicted to political positions, because when leaders no longer recognize the limits of power, democracy becomes dictatorship.",the limits of power.,0,,,ERNIE-Bot-3.5
饮水、卫生设施、基本医疗保健和教育,基本医疗保健和教育,"drinking water, sanitation facilities, basic healthcare and education.",basic healthcare and education.,0,,,ERNIE-Bot-3.5
那是一个获得真相的时刻，从内部清洗斯大林主义的残暴。,一个获得真相的时刻,"It was a moment of truth, a cleansing of the violence of Stalinism from within.",a moment of truth,0,,,ERNIE-Bot-3.5
自从在1999年通过一场政变获得权力后，穆沙拉夫至少已经躲过了三次严重的暗伤图谋。,三次严重的暗伤图谋,"Since seizing power in a coup in 1999, Musharraf has survived at least three serious assassination attempts.",three serious assassination attempts,0,,,ERNIE-Bot-3.5
但是，在国家之间，即便是核威慑也比乍看上去更复杂，在网络空间中的威慑更是如此。,在网络空间中的威慑,"However, even nuclear deterrence among nations is more complex than it seems at first glance, and even more so in cyberspace.",the deterrence in cyberspace,0,,,ERNIE-Bot-3.5
未来建筑业的崩溃和家庭财富的巨大损失,建筑业的崩溃和家庭财富,The collapse of the future construction industry and the huge loss of household wealth.,the collapse of the construction industry and the loss of household wealth,0,,,ERNIE-Bot-3.5
虽然古巴政府已封堵了该博客所在的网站，但它还是以多种语言在全世界广泛传播，在古巴国内也以光盘和闪存为传播途径。,虽然古巴政府已封堵了该歌所在的网站，但它还是以多种语言在全世界广泛传播，在古巴国内也以光盘和闪存为传播途径。,"Although the Cuban government has blocked the website where the blog is located, it is still widely spread in many languages all over the world, and also spread in Cuba through CDs and USB flash drives.","Although the Cuban government has blocked the website where the song is located, it is still widely spread in many languages all over the world, and also spread in Cuba through CDs and USB flash drives.",0,,,ERNIE-Bot-3.5
赫尔及东北的整个英格兰北部地区,东北的整个英格兰北部地区,The whole northern region of England in Hull and the Northeast,The entire northern region of England in the Northeast,0,,,ERNIE-Bot-3.5
在某种程度上，这是一个生死攸关的问题，在更普遍意义上，它决定了我们是否能实现生活中的成就与满足。,一个生死攸关的问题,"To some extent, it is a life-and-death issue, and more generally, it determines whether we can achieve fulfillment and satisfaction in life.",A life-and-death issue,0,,,ERNIE-Bot-3.5
