S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f
"According to this year' s US - China business council member survey, nearly 83 percent of the surveyed companies counted China as either the top or among the top five priorities of their global strategy.","According to this afternoon' s US - China business council member survey, nearly 83 percent of the surveyed companies counted China as either the top or among the top five priorities of their global strategy.",根据今年的美中贸易全国委员会成员调查，近83%的受访公司将中国视为其全球战略的五大优先事项。,根据今天下午的美中贸易全国委员会成员调查，近83%的受访公司将中国视为其全球战略的五大优先事项。,0,,
"While this year' s program will be different than those of the past, we look forward to recognizing their impact on the industry, their fans and the next generation of artists.","While this year' s program will be different than those of the past, we look forward to recognizing their impact on the industry, their fans and the next generation of girls.",虽然今年的计划将与往年不同，但我们期待认识到他们对行业、粉丝和下一代艺术家的影响。,虽然今年的计划将与以往不同，但我们期待认识到他们对行业、粉丝和下一代女孩的影响。,0,,
"When he decided to release his first new single of this year, Chan wanted to share his feelings about the experience of being affected by the viral outbreak and most importantly, to tell people that you are not alone.","When he decided to release his first new single of this year, Chan going to share his feelings about the experience of being affected by the viral outbreak and most importantly, to tell people that you are not alone.",当他决定发行今年的第一首新单曲时，Chan想分享他对受到病毒爆发影响的经历的感受，最重要的是，告诉人们你并不孤单。,当他决定发行今年的第一首新单曲时，Chan将分享他对受到病毒爆发影响的经历的感受，最重要的是，告诉人们你并不孤单。,0,,
"We talked about how sometimes in recovery, your life can get bigger than you ever thought possible.","We talked about how sometimes in recovery, your friend can get bigger than you ever thought possible.",我们谈到了有时在康复过程中，你的生活会变得比你想象的要大。,我们谈到了有时在康复过程中，你的朋友会变得比你想象的要大。,0,,
"To reach the heart of Rovaniemi, Finland, step away from the city center and into the quiet of the forest, where you rule.","To reach the heart of municipality, Finland, step away from the city center and into the quiet of the forest, where you rule.",要到达芬兰罗瓦涅米的中心地带，请远离市中心，进入您统治的宁静森林。,要到达芬兰市中心，请远离市中心，进入您统治的宁静森林。,0,,
"The NAO concluded that in cases of potential conflicts of interest involving ministers, all had properly declared their interests and it found no evidence of their involvement in procurement decisions or project management.","The eu concluded that in cases of potential conflicts of interest involving ministers, all had properly declared their interests and it found no evidence of their involvement in procurement decisions or project management.",审计署的结论是，在涉及部长的潜在利益冲突案件中，所有部长都适当地申报了自己的利益，没有发现他们参与采购决定或项目管理的证据。,欧盟的结论是，在涉及部长的潜在利益冲突案件中，所有部长都适当地申报了自己的利益，没有发现他们参与采购决定或项目管理的证据。,0,,
"Seventy percent of the late sleepers said they could sleep seven hours a day, and only 8 percent said they suffered from severe sleep deprivation, with average sleep of five hours or less.","Seventy percent of the late thirties said they could sleep seven hours a day, and only 8 percent said they suffered from severe sleep deprivation, with average sleep of five hours or less.",百分之七十的晚睡者说他们每天可以睡七个小时，只有8%的人说他们患有严重的睡眠剥夺，平均睡眠时间为五个小时或更短。,三十多岁的人中有百分之七十说他们每天可以睡七个小时，只有8%的人说他们患有严重的睡眠剥夺，平均睡眠时间为五个小时或更短。,0,,
"Sellers at a local distribution center in the northern Chinese city of Changshu garner a daily turnover of about 400 million yuan, just through talking to their home screens.","Sellers at a local distribution center in the northern Chinese city of seoul garner a daily turnover of about 400 million yuan, just through talking to their home screens.",中国北方城市常熟当地配送中心的卖家每天仅通过与主屏幕交谈就获得了约4亿元人民币的营业额。,中国北方城市首尔当地配送中心的卖家每天仅通过与主屏幕交谈就获得了约4亿元人民币的营业额。,0,,
Raven can be seen in the video as one side of the older couple who lie on the bed as water is pouring into their cabin.,Raven can be seen in the series as one side of the older couple who lie on the bed as water is pouring into their cabin.,在视频中可以看到乌鸦是一对老夫妇的一侧，他们躺在床上，水倒入他们的小屋。,在系列中，乌鸦可以看作是一对老夫妇的一侧，他们躺在床上，水倒入他们的小屋。,0,,
President Trump says he feels good after testing positive for hiv weeks ago and couldn' t recall whether he was tested on the day of the first presidential debate.,President shelton says he feels good after testing positive for hiv weeks ago and couldn' t recall whether he was tested on the day of the first presidential debate.,特朗普总统说，几周前艾滋病毒检测呈阳性后，他感觉很好，不记得他是否在第一次总统辩论当天接受了检测。,谢尔顿总统说，几周前艾滋病毒检测呈阳性后，他感觉很好，不记得自己是否在第一次总统辩论当天接受了检测。,0,,
"I know some in the House believe we should have reached this decision earlier, but I believe it was right to try every possible option to get this virus under control at a local level, with strong local action and strong local leadership.","I know some in the House believe we should have reached this decision earlier, but I believe it was right to try every possible option to get this job under control at a local level, with strong local action and strong local leadership.",我知道众议院的一些人认为我们应该早点做出这个决定，但我认为，通过强有力的地方行动和强有力的地方领导，尝试一切可能的选择，在地方一级控制这种病毒是正确的。,我知道众议院的一些人认为我们应该早点做出这个决定，但我认为，通过强有力的地方行动和强有力的地方领导，尝试一切可能的选择，在地方一级控制这项工作是正确的。,0,,
"How they' ve been performing at such a young age, how it would be great for us to get our hands on them, be able to work with them and start building the team.","How they' ve been performing at such a young age, how it would be great for us to get our hands on them, be able to work with them and start building the wreck.",他们在这么年轻的时候表现如何，对我们来说，得到他们的手，能够与他们一起工作并开始建立团队是多么美好。,他们在这么年轻的时候表现如何，对我们来说，得到他们的手，能够与他们合作并开始建造残骸是多么美好。,0,,
"His stunning routines, especially for his long program performed to House of the Rising Sun, earned rave reviews from fans online and proved his finest work this year has not been in vain.","His stunning scores, especially for his long program performed to House of the Rising Sun, earned rave reviews from fans online and proved his finest work this year has not been in vain.",他令人惊叹的套路，尤其是他在《旭日之家》中表演的长节目，在网上赢得了粉丝的好评如潮，并证明了他今年最好的作品没有白费。,他惊人的分数，尤其是他在《旭日之家》中表演的长节目，在网上赢得了粉丝的好评如潮，并证明了他今年最好的作品没有白费。,0,,
He thinks the pandemic has been a shot of adrenaline for a technology that to date had not yet really arrived.,He thinks the body has been a shot of adrenaline for a technology that to date had not yet really arrived.,他认为，对于一项迄今为止尚未真正到来的技术来说，大流行是一剂肾上腺素飙升的疫苗。,他认为身体是肾上腺素的注射，迄今为止尚未真正到来的技术。,1,飙升的疫苗,
"He emphasizes that this year, with the support of the provincial sports bureau and the local governments, they finally tore down a collective barn and made room for the laying of the new court in August.","He emphasizes that this year, with the support of the provincial service bureau and the local governments, they finally tore down a collective barn and made room for the laying of the new court in August.",他强调，今年，在省体育局和地方政府的支持下，他们终于拆除了一个集体谷仓，为8月份新球场的铺设腾出了空间。,他强调，今年，在省服务局和地方政府的支持下，他们终于拆除了一个集体谷仓，为8月份新法院的铺设腾出了空间。,1,球场,法院
Fiscal policy has always responded to large shocks but there is now a crisis about whether the threshold for intervention should be lowered.,Fiscal policy has always responded to large shocks but there is now a crisis about whether the threshold for males should be lowered.,财政政策总是对巨大的冲击做出反应，但现在存在一个关于是否应该降低干预门槛的危机。,财政政策总是对巨大的冲击做出反应，但现在存在一个关于是否应该降低男性门槛的危机。,0,,
"But now she is stuck in her home city, living with her father and wondering whether she will ever play tennis professionally again.","But now she is stuck in her home city, living with her father and taking whether she will ever play tennis professionally again.",但现在她被困在家乡，和父亲住在一起，想知道她是否会再次打职业网球。,但现在她被困在家乡，和父亲住在一起，并考虑她是否会再次打职业网球。,1,想知道,考虑
"While nudity in mainstream American culture is generally considered to be sexual, here in Germany, stripping down isn ’ t uncommon in certain everyday situations.","While women in mainstream American culture is generally considered to be sexual, here in Germany, stripping down isn ’ t uncommon in certain everyday situations.",虽然美国主流文化中的裸体通常被认为是性行为，但在德国，脱衣在某些日常情况下并不少见。,虽然美国主流文化中的女性通常被认为是有的，但在德国，脱衣在某些日常情况下并不少见。,1,性行为,有的
We were greatly appreciative toward the city for giving us such a high honor and to be able to receive something like that in another country for it is a monument to a moment.,We were greatly sad toward the city for giving us such a high honor and to be able to receive something like that in another country for it is a monument to a moment.,我们非常感谢这座城市给予我们如此高的荣誉，并且能够在另一个国家获得类似的东西，因为它是时刻的纪念碑。,我们对这座城市给予我们如此高的荣誉感到非常难过，并且能够在另一个国家获得这样的东西，因为它是时刻的纪念碑。,0,,
"We need more information on the vaccines, who they are used for and whether they protect against infection or infection.","We need more information on the site, who they are used for and whether they protect against infection or infection.",我们需要更多关于疫苗的信息，它们的用途以及它们是否可以预防感染或感染。,我们需要有关网站的更多信息，它们的用途以及它们是否可以防止感染或感染。,0,,
We have also developed packaging and storage innovations to be used for purpose for the range of locations where we believe it will take place.,We have also developed packaging and storage innovations to be used for purpose for the benefit of locations where we believe it will take place.,我们还开发了包装和存储创新，用于我们认为将要发生的一系列地点。,我们还开发了包装和存储创新，用于我们认为将要发生的地点的利益。,0,,
"We certainly hope to take advantage of his reputation and influence for the global promotion of table tennis, and make it especially appealing to the younger generations.","We certainly hope to take advantage of his reputation and influence for the possible promotion of table tennis, and make it especially appealing to the younger generations.",我们当然希望利用他的声誉和影响力，在全球范围内推广乒乓球，并使其对年轻一代特别有吸引力。,我们当然希望利用他的声誉和影响力，对乒乓球运动进行可能的推广，并使其对年轻一代特别有吸引力。,0,,
"Typically, I watch a great deal of television for my job and entertainment, especially during Emmy season, when I have a lengthy list of must - watch prestige programming.","Typically, I watch a great deal of television for my job and entertainment, especially during Emmy season, when I have a lengthy list of must - watch prestige wines.",通常，我看大量的电视是为了我的工作和娱乐，尤其是在艾美奖季，当我有一长串必须的清单 - 观看声望节目时。,通常，我看很多电视是为了我的工作和娱乐，尤其是在艾美奖季，当我有一长串必须的清单 - 观看名贵葡萄酒。,1,声望,名贵
This means care providers are allocated a certain amount of equipment depending on the number of people they look after.,This means care providers are allocated a certain amount of cost depending on the number of people they look after.,这意味着护理提供者根据他们照顾的人数分配一定数量的设备。,这意味着护理提供者根据他们照顾的人数分配一定的费用。,0,,
This is a credit to the hard work of our county and local elections officials who moved quickly to undertake and complete such a momentous task in a short period of time.,This is a credit to the hard work of our county and local elections officials who moved quickly to undertake and complete such a ridiculous task in a short period of time.,这要归功于我们县和地方选举官员的辛勤工作，他们迅速采取行动，在短时间内承担并完成了如此重大的任务。,这要归功于我们县和地方选举官员的辛勤工作，他们迅速采取行动，在短时间内承担并完成了如此荒谬的任务。,0,,
"The statement, which was made on Saturday morning, did not make clear what is wrong with Nelson or how unwell she is.","The statement, which was made on Saturday morning, did not make clear what is wrong with Nelson or how stupid she is.",这份声明是在周六早上发表的，没有明确说明尼尔森出了什么问题，也没有说明她的身体状况如何。,这份声明是在周六早上发表的，并没有明确说明尼尔森出了什么问题，也没有说明她有多愚蠢。,1,,身体状况
"The paintings on show reinterpret fairy tales and other works, many of which are also quite familiar to Chinese audiences.","The paintings on show learn fairy tales and other works, many of which are also quite familiar to Chinese audiences.",展出的画作重新诠释了童话故事和其他作品，其中许多作品对中国观众来说也相当熟悉。,展出的画作学习童话故事和其他作品，其中许多对中国观众来说也相当熟悉。,0,,
The opening of this new pedestrian walkway on this most famous address is symbolic of a new beginning when a city and its people came together as one to combat the novel coronavirus.,The opening of this new pedestrian walkway on this most famous address is symbolic of a new beginning when a city and its people came together as one to combat the novel format.,在这个最著名的地址上开放这条新的人行道象征着一个新的开始，一个城市和它的人民团结起来抗击新型冠状病毒。,在这个最著名的地址上开放这条新的人行道象征着一个新的开始，当一个城市及其人民团结起来对抗这种新颖的形式时。,0,,
"The numbers suggest a basic disagreement among the Trump administration, state health officials and nursing home administrators over the best way to test this population and how to strike the right balance between speed and accuracy.","The numbers suggest a basic disagreement among the Trump brothers, state health officials and nursing home administrators over the best way to test this population and how to strike the right balance between speed and accuracy.",这些数字表明，特朗普政府，州卫生官员和养老院管理人员之间在测试这一人群的最佳方式以及如何在速度和准确性之间取得适当平衡方面存在基本分歧。,这些数字表明，特朗普兄弟，州卫生官员和疗养院管理人员在测试这一人群的最佳方式以及如何在速度和准确性之间取得适当平衡方面存在基本分歧。,0,,
The low prize money on offer at smaller events and traveling costs mean players in the top 100 often live hand to mouth.,The low prize money on offer at smaller events and traveling costs includes players in the top 100 often live hand to mouth.,小型赛事提供的低奖金和旅行费用意味着前 100 名的玩家经常亲自动手。,小型赛事提供的低奖金和旅行费用包括前 100 名的玩家，他们经常手枪匹马。,1,亲自动手,手枪匹马
"The director not only focuses on the crime, but also displays the light and warm side of humanity, primarily through a romance between the protagonist and his former schoolmate.","The director not only focuses on the crime, but also displays the light and warm side of humanity, primarily through a romance between the protagonist and his former govt.",导演不仅聚焦犯罪，还主要通过主角和昔日同学的一段恋情，展现了人性光明温暖的一面。,导演不仅聚焦犯罪，还展现了人性光明温暖的一面，主要是通过主角和前任政府之间的一段恋情。,0,,
"The costs of some popular routes have been halved for the period from mid - October through November, compared with the holiday.","The costs of some popular routes have been highlighted for the period from mid - October through November, compared with the holiday.",与假期相比，10月中旬至11月期间，一些热门路线的费用减少了一半。,与假期相比，10月中旬至11月期间，一些热门路线的成本已经突出。,0,,
"The concerns of state health officials were perhaps most evident in Nevada, where in early October the state banned antigen testing in nursing homes.","The concerns of state health fairs were perhaps most evident in Nevada, where in early October the state banned antigen testing in nursing homes.",州卫生官员的担忧也许在内华达州最为明显，该州在十月初禁止在养老院进行抗原检测。,州健康博览会的担忧也许在内华达州最为明显，该州在十月初禁止在养老院进行抗原检测。,0,,
"Some have called for more pragmatism, as a shorter isolation will be more effective in controlling the spread of the virus because of the compliance.","Some have called for more patience, as a shorter isolation will be more effective in controlling the spread of the virus because of the compliance.",一些人呼吁更加务实，因为由于依从性，较短的隔离将更有效地控制病毒的传播。,一些人呼吁增加耐心，因为由于依从性，较短的隔离将更有效地控制病毒的传播。,0,,
"Some claim they began in Belgium, where the salty delight was first encountered by American soldiers during World War i.","Some claim they travelled in Belgium, where the salty delight was first encountered by American soldiers during World War i.",有些人声称他们始于比利时，第一次世界大战期间美国士兵第一次遇到咸味。,有些人声称他们在比利时旅行，第一次世界大战期间美国士兵第一次遇到咸味。,0,,
"She became the first Bachelorette to find love so quickly that she did not even finish her season of the show, and now she and contestant dale moss are engaged.","She became the first waitress to find love so quickly that she did not even finish her season of the show, and now she and contestant dale moss are engaged.",她成为第一个如此迅速地找到爱情的单身女郎，以至于她甚至没有完成她的节目季，现在她和参赛者戴尔·莫斯订婚了。,她成为第一个如此迅速地找到爱情的女服务员，以至于她甚至没有完成她的节目季，现在她和参赛者戴尔莫斯订婚了。,0,,
"Second - hand cars and computer games also saw price rises, but these were partially offset by falls in the cost of energy and holidays.","Second - hand cars and computer bodies also saw price rises, but these were partially offset by falls in the cost of energy and holidays.",二手车和电脑游戏的价格也有所上涨，但这些被能源和假期成本的下降部分抵消。,二手车和电脑车身的价格也有所上涨，但这些被能源和假期成本的下降部分抵消。,0,,
"Players and coaches were confined to four walls for the entirety of the quarantine, only entering the room door to collect food, get tested for the virus and dispose of rubbish.","Players and coaches were confined to four walls for the entirety of the test, only entering the room door to collect food, get tested for the virus and dispose of rubbish.",在整个隔离期间，球员和教练被限制在四面墙内，只能进入房间门收集食物、接受病毒检测和处理垃圾。,在整个测试过程中，球员和教练被限制在四面墙内，只能进入房间门收集食物，接受病毒检测和处理垃圾。,0,,
One of the main things is to get a bunch of people that can see the messages that we learn back to their respective countries.,One of the main things is to get a bunch of people that can see the messages that we write back to their respective countries.,主要的事情之一是让一群人能够看到我们学到的信息回到他们各自的国家。,主要的事情之一是让一群人可以看到我们写回他们各自国家的信息。,0,,
"It found there had been a lack of applications from women for senior roles, many of which had not been available on a flexible basis.","It found there had been a lack of applications from labour for senior roles, many of which had not been available on a flexible basis.",它发现，缺乏妇女申请高级职位的情况，其中许多申请没有灵活提供。,它发现，劳工部门缺乏高级职位的申请，其中许多职位无法灵活提供。,1,申请,职位
"In the effort to deal with the challenges of the pandemic while also improving his performances on track, Hamilton has been trying new things.","In the effort to deal with the challenges of the run while also improving his performances on track, Hamilton has been trying new things.",为了应对大流行的挑战，同时提高他在赛道上的表现，汉密尔顿一直在尝试新事物。,为了应对跑步的挑战，同时提高他在赛道上的表现，汉密尔顿一直在尝试新事物。,0,,
"I really just had to self - motivate a lot out there because it was a lonely, very long run without me.","I really just had to self - release a lot out there because it was a lonely, very long run without me.",我真的只需要自我激励很多，因为没有我，这是一场孤独的、很长的跑步。,我真的只需要自我释放很多东西，因为没有我，这是一个孤独的，很长的运行。,1,跑步,运行
He said the move would allow the government to boost the economy whenever it is needed rather than just after a large shock such as the pandemic.,He said the move would allow the government to boost the economy whenever it is needed rather than just after a large shock such as the titanic.,他说，此举将使政府能够在需要时提振经济，而不仅仅是在大流行等大冲击之后。,他说，此举将使政府能够在需要时提振经济，而不仅仅是在泰坦尼克号等大冲击之后。,0,,
"Financial institutions and other persons might face secondary sanctions if they engage in transactions with designated entities after a 45 - day wind - down period, it added.","Financial institutions and other persons might face secondary sanctions if they engage in transactions with designated entities after a 45 - day wind - down period, it meant.",它补充说，如果金融机构和其他人在45天的缓冲期后与指定实体进行交易，可能会面临二级制裁。,这意味着，金融机构和其他人如果在45天的缓冲期后与指定实体进行交易，可能会面临二级制裁。,0,,
"Experts predict road use will decline again this time around but, with schools and universities staying open, the effect is not expected to be as dramatic as before.","Experts predict road use will decline again this episode around but, with schools and universities staying open, the effect is not expected to be as dramatic as before.",专家预测，这次道路使用量将再次下降，但随着学校和大学保持开放，预计效果不会像以前那样显着。,专家预测，这一事件的道路使用量将再次下降，但随着学校和大学保持开放，预计影响不会像以前那样显着。,0,,
Chinese photographers enjoyed more international success as the winners of the 56th Wldlife Photographer of the year award were presented at the natural history museum in London on Tuesday.,Chinese photographers enjoyed more international success as the winners of the 56th empire Photographer of the year award were presented at the natural history museum in London on Tuesday.,中国摄影师在国际上取得了更大的成功，因为第56届Wldlife年度摄影师奖的获奖者周二在伦敦自然历史博物馆颁发。,中国摄影师在国际上取得了更大的成功，因为第56届帝国年度摄影师奖的获奖者周二在伦敦自然历史博物馆颁发。,0,,
"But while both sides said a deal needed to be done in October, they have yet to come to an agreement, and talks between the negotiating teams have intensified.","But while both sides said a groundbreaking needed to be done in October, they have yet to come to an agreement, and talks between the negotiating teams have intensified.",但是，尽管双方都表示需要在10月达成协议，但他们尚未达成协议，谈判团队之间的谈判已经加强。,但是，尽管双方都表示需要在10月份进行突破性工作，但他们尚未达成协议，谈判团队之间的谈判已经加强。,0,,
Burnley secured their first win in the Premier League this season as victory over Crystal Palace at Turf Moor moved them out of the relegation zone.,Burnley secured their first win in the Premier League this season as victory over Crystal Palace at Turf Moor moved them out of the china zone.,伯恩利获得了本赛季在英超联赛中的首场胜利，在特夫摩尔击败水晶宫使他们脱离了降级区。,伯恩利获得了本赛季在英超联赛中的首场胜利，在特夫摩尔击败水晶宫将他们带出了中国区。,0,,
"As officials continue to warn about traveling over the holidays amid the fall surge, health experts are also investigating the virus' impact on children.","As officials continue to warn about traveling over the holidays amid the fall surge, health experts are also investigating the updates' impact on children.",随着官员们继续警告在秋季激增期间在假期旅行，健康专家也在调查该病毒对儿童的影响。,随着官员们继续警告在秋季激增期间旅行，健康专家也在调查更新对儿童的影响。,1,假期,
"All over the world, many hospitals are already at their breaking point, with overwhelmed and overworked staff members and a continuing surge of patients.","All over the world, many hospitals are already at their breaking point, with overwhelmed and terrified staff members and a continuing surge of patients.",在世界各地，许多医院已经处于崩溃的边缘，工作人员不堪重负，过度劳累，患者持续激增。,在世界各地，许多医院已经处于崩溃的边缘，工作人员不堪重负，恐惧万分，患者人数持续激增。,0,,
A maximum of 4000 fans will be allowed at outdoor events in the lowest - risk areas when the four - week lockdown in England ends on 2 December.,A maximum of 4000 fans will be allowed at outdoor events in the lowest - risk areas when the four - week testing in England ends on 2 December.,当英格兰为期四周的封锁于 12 月 2 日结束时，最多允许 4000 名球迷参加风险最低地区的户外活动。,当英格兰为期四周的测试于12月2日结束时，最多允许4000名球迷参加风险最低地区的户外活动。,0,,
"Young men always seem to feel that they must do something to defend their hairline, or to resist the fine lines that pop up around the corners of their eyes.","Young men always seem to feel that they must do something to defend their legs, or to resist the fine lines that pop up around the corners of their eyes.",年轻人似乎总觉得他们必须做点什么来捍卫自己的发际线，或者抵抗眼角弹出的细纹。,年轻人似乎总觉得他们必须做点什么来保护自己的腿，或者抵抗眼角弹出的细纹。,0,,
Xi called on the two nations to jointly uphold multilateralism and firmly safeguard the international order and system with the United Nations at the helm.,Xi called on the two nations to jointly uphold honor and firmly safeguard the international order and system with the United Nations at the helm.,习近平呼吁两国共同维护多边主义，坚定维护以联合国为主导的国际秩序和体系。,习近平呼吁两国共同维护荣誉，坚定维护由联合国掌舵的国际秩序和体系。,0,,
"Within the first five years, a dynamic system for protection is to be established to enable close cooperation among central and local government departments with active participation of the public.","Within the first five years, a dynamic system for protection is to be established to enable close cooperation among central and local government departments with active participation of the committee.",在头五年内，将建立一个充满活力的保护系统，以便在公众的积极参与下，使中央和地方政府部门能够密切合作。,在头五年内，将建立一个充满活力的保护制度，以便在委员会的积极参与下，使中央和地方政府部门能够密切合作。,0,,
Wednesday' s meeting also adopted conclusions on an action plan against money laundering and terrorism financing presented by the european commission in May.,Wednesday' s government also adopted conclusions on an action plan against money laundering and terrorism financing presented by the european commission in May.,周三的会议还通过了欧盟委员会在5月份提出的反洗钱和恐怖主义融资行动计划的结论。,周三的政府还通过了欧盟委员会在5月份提出的反洗钱和恐怖主义融资行动计划的结论。,0,,
"Wearing a mask can help protect you, not just those around you, from coronavirus transmission, the Centers for Disease Control and Prevention said in new guidance Tuesday.","Wearing a mask can help protect you, not just those around you, from aerial transmission, the Centers for Disease Control and Prevention said in new guidance Tuesday.",美国疾病控制和预防中心周二在新的指南中表示，戴口罩可以帮助保护您，而不仅仅是您周围的人免受冠状病毒传播。,戴口罩可以帮助保护你，而不仅仅是你周围的人，免受空中传播，疾病控制和预防中心周二在新指南中说。,1,美国,
