S_s,S_f,T_s,T_f,Limitation-A,Limitation-text
"The phones were neatly arranged at his coffee shop located in one of Nairobi ' s bustling downtown street , Luthuli Avenue.","The phones were neatly arranged at his coffee shop situated in one of Nairobi ' s bustling downtown street , Luthuli Avenue.",他的咖啡店位于内罗毕繁华的市中心街道之一卢图里大街，电话整齐地摆放着。,他的咖啡店位于内罗毕繁华的市中心街道之一Luthuli大道，电话整齐地摆放着。,True,
"Republican presidential candidate Joe Biden attacked President Donald Trump ' s handling of the coronavirus pandemic on Thursday , as the two candidates were dueling televised town halls after their second planned debate was canceled.","Republican presidential candidate Joe Biden attacked President Donald Trump ' s handling of the coronavirus pandemic on Thursday , as the two candidates were dueling televised town halls after their second planned debate was cancelled.",周四，共和党总统候选人乔·拜登抨击唐纳德·特朗普总统对冠状病毒大流行的处理方式，当时两位候选人在原定的第二次辩论被取消后正在电视转播的市政厅进行决斗。,周四，共和党总统候选人乔·拜登抨击唐纳德·特朗普总统对冠状病毒大流行的处理方式，因为两位候选人在原定的第二次辩论被取消后正在电视转播的市政厅进行决斗。,True,
"On some levels , the tale stokes a primal fear , with the piper a version of a universal bogey man that continues to haunt us.","At some levels , the tale stokes a primal fear , with the piper a version of a universal bogey man that continues to haunt us.",在某些层面上，这个故事引发了一种原始的恐惧，吹笛者是一个继续困扰着我们的普遍妖怪的版本。,在某些层面上，这个故事引发了一种原始的恐惧，吹笛者是一个继续困扰着我们的普遍的柏忌人的版本。,True,
Economists fear dialing back government support too soon will undermine the strength of the recovery from the pandemic.,Economists fear dialing back government support too soon would undermine the strength of the recovery from the pandemic.,经济学家担心过早撤回政府支持会削弱从大流行病中复苏的力量。,经济学家担心过早减少政府支持会削弱从大流行病中复苏的力量。,True,
"Without the March relief package , the poverty rates would have been higher over the last seven months.","Without the March relief package , the poverty rates would have been higher over the last six months.",如果没有3月份的救助计划，过去七个月的贫困率会更高。,如果没有3月份的一揽子救助计划，过去六个月的贫困率会更高。,True,
The Champions League returns after a three - week break as we reach the business end of the group stages.,The Champions League returns after a three - week break when we reach the business end of the group stages.,当我们到达小组赛阶段的商业结束时，冠军联赛在休息三周后回归。,当我们到达小组赛阶段的业务结束时，冠军联赛将在休息三周后回归。,True,
"Steven Kennedy , the treasury secretary , used a recent speech to pressure the government to lower the threshold for fiscal stimulus.","Steven Kennedy , the treasury secretary , used a recent speech to pressure the government to reduce the threshold for fiscal stimulus.",财政部长史蒂文·肯尼迪利用最近的一次讲话向政府施压，要求其降低财政刺激的门槛。,美国财政部长史蒂文·肯尼迪利用最近的一次讲话向政府施压，要求其降低财政刺激的门槛。,True,
Keeping employees engaged and happy while they are working remotely has become a challenge for companies.,Keeping workers engaged and happy while they are working remotely has become a challenge for companies.,让员工在远程工作时保持敬业和快乐已成为公司面临的挑战。,让员工在远程工作时保持参与和快乐已成为公司面临的挑战。,True,
"Hotels treating their few customers like royalty , not art galleries where solo guests stand nose - to - nose with renaissance art.","Hotels treat their few customers like royalty , not art galleries where solo guests stand nose - to - nose with renaissance art.",酒店像对待皇室一样对待他们的少数顾客，而不是艺术画廊，在艺术画廊里，单身客人与文艺复兴时期的艺术针锋相对。,酒店像对待皇室一样对待他们的少数顾客，而不是艺术画廊，在艺术画廊里，独行客人与文艺复兴时期的艺术针锋相对。,True,
"Chappelle wonders if white people actually want to help Black people , they should participate in his plan he calls the kindness conspiracy.","Chappelle wonders if white people really want to help Black people , they should participate in his plan he calls the kindness conspiracy.",Chappelle想知道白人是否真的想帮助黑人，他们应该参与他称之为善良阴谋的计划。,Chappelle想知道如果白人真的想帮助黑人，他们应该参与他称之为善良阴谋的计划。,True,
"The office prepared masks printed with Chinese tourism logos for visitors , and sterilized all the brochures.","The company prepared masks printed with Chinese tourism logos for visitors , and sterilized all the brochures.",办公室为来访者准备了印有中国旅游标志的口罩，并对所有宣传册进行了消毒。,公司为游客准备了印有中国旅游标志的口罩，并对所有宣传册进行了消毒。,True,
"The menu currently offers several different hotpot bases , including assorted mushrooms , golden dried fruits and preserved Chinese dishes and pork.","The menu currently offers many different hotpot bases , including assorted mushrooms , golden dried fruits and preserved Chinese dishes and pork.",菜单目前提供几种不同的火锅底料，包括什锦蘑菇、金黄色干果和中式腊菜和猪肉。,菜单目前提供许多不同的火锅底料，包括什锦蘑菇、金黄色干果和中式菜肴和猪肉。,True,
Rory McIlroy and his father Harry Diamond used to have a bet with each other during practice rounds.,Rory McIlroy and his father Harry Diamond used to have a bet with each other before practice rounds.,罗里·麦克罗伊和他的父亲哈里·戴蒙德过去常常在练习赛中互相打赌。,罗里·麦克罗伊和他的父亲哈里·戴蒙德过去常常在练习赛前打赌。,True,
