S_s,S_f,T_s,T_f,Limitation-B,Limitation-text
"For our players , for our fans and for everyone involved in table tennis , today is the day that gets our sport back.",everyone involved in table tennis,对于我们的球员、我们的球迷以及所有参与乒乓球运动的人来说，今天是我们这项运动回归的日子。,每个参与乒乓球的人,,True
"During the national day holiday , Xinjiang and Ningxia were among the top two destinations that saw the fastest spending growth on a daily basis , according to UnionPay data.",the fastest spending growth,银联数据显示，国庆期间，新疆和宁夏成为日均消费增长最快的两大目的地。,支出增长最快,,True
Cesc Fabregas is well known for his technical ability and eye for a pass but the Spanish soccer star has turned his attention to a very different part of the game.,a very different part of the game.,塞斯克法布雷加斯以其技术能力和传球眼光而闻名，但这位西班牙足球明星已经将注意力转向了比赛的一个非常不同的部分。,游戏的一个非常不同的部分。,,True
"Borrowers who have not yet had a mortgage holiday can request from their bank a pause in payment , that can last up to six months.","payment , that can last up to six months.",还没有抵押贷款假期的借款人可以向银行申请暂停还款，最长可以持续六个月。,付款，最多可以持续六个月。,,True
A maximum of 4000 fans will be allowed at outdoor events in the lowest - risk areas when the four - week lockdown in England ends on 2 December.,the four - week lockdown,当 12 月 2 日英格兰为期 4 周的封锁期结束时，风险最低地区的户外活动将允许最多 4000 名球迷参加。,四个星期的封锁,,True
your every need and an emotional connection that comes from the heart.,your every need and an emotional connection,您的每一个需求和发自内心的情感联系。,你的每一个需要和情感联系,,True
"the populist right - wing swiss people ' s party , known as the SVP , which claimed current regulations would lead to overpopulation , rising housing costs and a strained welfare system.",rising housing costs,民粹主义右翼瑞士人民党，即 SVP，声称现行法规将导致人口过剩、住房成本上升和福利制度紧张。,不断上涨的住房成本,,
the first wave of the virus in the next six weeks.,the next six weeks.,未来六周内的第一波病毒。,接下来的六个星期。,,True
"The rapid growth of artificial intelligence presents an opportunity for Africa to provide solutions to some of its most pressing problems , such as food security , healthcare and financial services.",The rapid growth,人工智能的快速发展为非洲提供了解决其一些最紧迫问题的机会，例如食品安全、医疗保健和金融服务。,快速增长,,True
"The cars are incredible , in fact how they ' re made , watching the craftsmanship , the work that goes into them , the technology , the team.","the craftsmanship , the work that goes into them",这些汽车令人难以置信，事实上它们是如何制造的，观察工艺，进入它们的工作，技术，团队。,工艺，融入其中的工作,,True
charges of espionage and theft of american property.,espionage and theft of american property.,间谍罪和盗窃美国财产的指控。,间谍活动和盗窃美国财产。,,True
"Responsible for meeting and greeting visiting dignitaries and dignitaries , he leads tours of the city and embodies the enduring hold of the legend that draws most travellers here.",the legend that draws most travellers here.,他负责会见和问候来访的政要和政要，带领城市游览，体现了吸引大多数游客到此的传奇经久不衰的魅力。,吸引大多数游客来到这里的传说。,,True
Covid - 19 test results as many in the Trump administration ' s central strategy,many in the Trump administration ' s central strategy,Covid - 19 测试结果与特朗普政府的核心战略一样多,许多在特朗普政府的核心战略中,,
"In the summer of 1988 , lee took chuck and two of his bandmates to lunch in Greenwich Village and asked them to write an anthem.",lunch in Greenwich Village,1988 年夏天，李带着查克和他的两个乐队成员去格林威治村吃午饭，并请他们写一首国歌。,在格林威治村享用午餐,,True
"Groups of friends and families are major forces behind preparing for the holiday , as college students account for a diminishing proportion.",Groups of friends and families,亲朋好友是为假期做准备的主要力量，大学生所占比例正在下降。,一群朋友和家人,,True
a lot about each nation ' s distinct character.,each nation ' s distinct character.,很多关于每个国家的独特性格。,每个民族的独特性格。,,True
A young chef at the Chairman,A young chef,主席的年轻厨师,一位年轻的厨师,,
"A tougher three - tiered system of local restrictions will come into force in England when the lockdown ends on 2 December , Downing Street has said.",A tougher three - tiered system,唐宁街表示，当封锁于 12 月 2 日结束时，英国将实施更严格的三级地方限制制度。,更严格的三层系统,,True
A military lockdown due to coronavirus has not stopped Italians from bursting into morale - boosting song in a nationwide flashmob event.,a nationwide flashmob event.,由于冠状病毒而导致的军事封锁并没有阻止意大利人士气高涨——在全国范围内的快闪活动中鼓舞士气。,一场全国性的快闪活动,,True
"Travelers can also opt for small islands on the lake , where karst landscape and monkeys can be spotted.",karst landscape and monkeys,旅客还可以选择湖上的小岛，在那里可以看到喀斯特地貌和猴子。,岩溶景观和猴子,,True
more than 10 professionals that is in constant contact with everyone.,constant contact with everyone.,10 多名与每个人保持联系的专业人员。,经常和大家联系。,,True
"The ministers renewed the discussion of new fiscal rules , which was disrupted by the pandemic early this year.",the pandemic early this year.,部长们重新讨论了今年年初因大流行病而中断的新财政规则。,今年年初的疫情。,,True
The figures came as England is set to enter a month - long lockdown from Thursday in a bid to quell the resurgence of the coronavirus.,a bid to quell the resurgence of the coronavirus.,这些数据发布之际，英格兰将从周四开始进入为期一个月的封锁期，以遏制冠状病毒的卷土重来。,试图平息冠状病毒的死灰复燃。,,True
the fine balance between controlling the spread and allowing their vital tourism industry to operate safely.,their vital tourism industry,控制传播与允许其重要的旅游业安全运营之间的微妙平衡。,他们重要的旅游业,,True
the first - ever crewed mission,first - ever,有史以来第一次载人任务,史无前例的,,True
Plans for Africa to improve its energy sector and connect more households and enterprises to power supplies are gathering steam with the release of a report that envisages a continent - wide market.,a continent - wide market.,随着一份设想非洲大陆市场的报告的发布，非洲改善其能源部门并使更多家庭和企业接入电力供应的计划正在加速推进。,整个大陆的市场。,,
"On that day , defending champions Mumbai were comfortable winners , securing a direct passage to the final and leading Delhi to a second - chance meeting with Sunrisers.",a second - chance meeting with Sunrisers.,那天，卫冕冠军孟买轻松获胜，确保直接晋级决赛，并带领德里获得与日出者的第二次机会。,与日出者的第二次机会会面。,,
a long - standing form of art,a long - standing form,一种由来已久的艺术形式,长期存在的形式,,True
"More urgent efforts are needed to boost security capacity while promoting greater China so as to better address rising challenges and economic uncertainties , according to an industry analyst.",rising challenges and economic uncertainties,一位行业分析师表示，需要更加紧迫地努力提高安全能力，同时促进大中华区的发展，以更好地应对日益严峻的挑战和经济不确定性。,不断增加的挑战和经济不确定性,,True
"In this period , a number of countries have stepped up vr marketing efforts to prepare for the gradual recovery of their tourism industries.",the gradual recovery of their tourism industries.,在此期间，多个国家加大了VR营销力度，为本国旅游业的逐步复苏做准备。,他们的旅游业逐渐恢复。,,True
a hospital room ahead of the biggest competition of your life.,the biggest competition of your life.,在你生命中最大的比赛之前的一间病房。,你一生中最大的竞争。,,True
He expressed appreciation for the organizers of the event for organizing the event in these challenging times.,the event in these challenging times.,他对活动的组织者在这个充满挑战的时代组织这次活动表示感谢。,在这些充满挑战的时代举办的活动。,,True
"He again made no public appearances on Thursday , skipping the first coronavirus task force briefing at the White House in more than six months.",the White House in more than six months.,周四，他再次没有公开露面，跳过了六个月以来在白宫举行的第一次冠状病毒特别工作组简报会。,白宫在六个多月内。,,True
"Daniil Medvedev had just won the biggest title of his career , the best victory of his life at the ATP tour , but did not play.",the biggest title of his career,丹尼尔·梅德韦杰夫刚刚赢得了他职业生涯中最大的冠军头衔，这是他一生中在 ATP 巡回赛中取得的最好胜利，但他没有上场。,他职业生涯中最重要的头衔,,True
"What the movie world will look like in 2021 , and the extent to which theaters can mount a comeback , remains to be seen.",the extent to which theaters can mount a comeback,2021 年的电影世界会是什么样子，以及影院能在多大程度上卷土重来，还有待观察。,剧院可以卷土重来的程度,,True
Unbeaten Chinese heavyweight Zhang Zhilei produced a Hollywood finish for his first fight in nearly a year on Saturday night.,nearly a year on Saturday night.,周六晚上，不败的中国重量级拳王张志磊为他近一年来的第一场比赛打出了好莱坞式的收官战。,将近一年的星期六晚上。,,
Tourism players are counting on the holiday to make up for the loss caused by the pandemic and have developed favorable policies to boost consumption.,the loss caused by the pandemic,旅游业者指望假期来弥补大流行造成的损失，并制定了促进消费的优惠政策。,疫情造成的损失,,True
"The Chinese embassy urged Chinese residents , students and teachers in local Chinese enterprises to abide by Austrian police rules and stay at home to ensure their safety.",Austrian police rules,中国使馆敦促在奥当地中资企业的华人居民、学生和教师遵守奥警方规定，留在家中，确保自身安全。,奥地利警察规则,,True
The Champions League returns after a three - week break as we reach the business end of the group stages.,a three - week break,当我们到达小组赛阶段的商业结束时，冠军联赛在休息三周后回归。,三个星期的休息,,True
Stories people emptying supermarket shelves or arguing over packets of pasta can paint a clear picture of the coronavirus outbreak.,a clear picture of the coronavirus outbreak.,人们清空超市货架或为意大利面包争吵的故事可以清楚地描绘出冠状病毒的爆发。,冠状病毒爆发的清晰画面。,,True
Staff at a specialist care unit,a specialist care unit,专科护理室的工作人员,专科护理单位,,True
She will for the first time next February at a training camp where the initial squad will start to be cut.,the first time next February,明年 2 月，她将首次参加训练营，届时将开始裁减初始阵容。,明年二月第一次,,True
Scotland ' s health secretary has confirmed people will not be forced to take the Covid vaccine but she hopes most Scots will choose to do so.,Scotland ' s health secretary,苏格兰卫生大臣已确认人们不会被迫接种新冠疫苗，但她希望大多数苏格兰人会选择这样做。,苏格兰卫生部长,,True
"Over the period , the account picked up followers including what appeared to be older men.",followers including what appeared to be older men.,在此期间，该帐户吸引了一些关注者，其中包括看起来年长的男性。,追随者包括看起来年长的男人。,,True
Comedian Alex Brooker and others with hand and arm impairments have accused the film of being insensitive towards disabled people.,others with hand and arm impairments,喜剧演员亚历克斯布鲁克和其他手和手臂有缺陷的人指责这部电影对残疾人不敏感。,其他有手和手臂障碍的人,,True
Balancing a career in professional sport with being a major media sensation is a tightrope to me.,a career in professional sport,平衡职业体育事业和成为主要媒体的轰动对我来说是一个走钢丝。,从事职业运动,,True
"Around the corner , once - crowded sights lay dormant , with hotels empty and not a tourist in sight.",once - crowded sights,在拐角处，曾经熙熙攘攘的景点静悄悄，酒店空无一人，看不到游客。,曾经拥挤的景点,,True
"This summer has witnessed several severe floods and powerful typhoons across the philippines , causing great damage to local people and their properties.",local people and their properties.,今年夏天，菲律宾经历了数次特大洪水和强台风袭击，给当地人民和财产造成了巨大损失。,当地人及其财产。,,True
They try to be optimistic about the prospect of rolling out such an unprecedented immunization plan.,such an unprecedented immunization plan.,他们试图对推出这种前所未有的免疫计划的前景持乐观态度。,如此空前的免疫计划。,,True
The world is changing and there is an increasing population for more diverse perspectives on history.,more diverse perspectives on history.,世界在变化，越来越多的人对历史有更多样化的看法。,更多元化的历史观。,,True
"The park will not serve residents within five kilometers and communities within 23 km , becoming a new commercial and leisure center.",residents within five kilometers and communities,公园5公里内不服务居民，23公里内不服务社区，成为新的商业休闲中心。,五公里范围内的居民和社区,,True
The best thing about this fun film,The best thing,这部有趣的电影最好的地方,最好的东西,,True
"Tens of thousands of these products could have been sold via online marketplaces , it seems.",Tens of thousands of these products,看起来，数以万计的此类产品本可以通过在线市场销售。,这些产品数以万计,,
Saudi Arabia has rejected criticism after it was confirmed it would host its first Formula 1 race in 2021.,its first Formula 1 race,沙特阿拉伯在确认将于 2021 年举办首场一级方程式比赛后拒绝批评。,它的第一场一级方程式比赛,,True
"Polypropylene may generate a static charge that captures particles , the CDC said , while silk might create moist droplets and be more comfortable.",a static charge that captures particles,疾病预防控制中心表示，聚丙烯可能会产生静电来捕获颗粒，而丝绸可能会产生湿润的水滴并且更舒适。,捕获粒子的静电荷,,True
patient recovery times and potential risk of infection.,patient recovery times,患者恢复时间和潜在的感染风险。,病人康复时间,,True
"It ’ s one of the key ingredients in Chinese málà cooking , and its effects are said to be both physiological and mental.",one of the key ingredients in Chinese málà cooking,它是中国麻辣烹饪中的关键成分之一，据说它对生理和精神都有影响。,中国麻辣烹饪的主要原料之一,,True
A long and thin silicone prosthesis would be implanted in her nose and a silicone prosthesis embedded in her chin.,A long and thin silicone prosthesis,一个细长的硅胶假体将植入她的鼻子，一个硅胶假体嵌入她的下巴。,又长又薄的硅胶假体,,True
Three - time Grand Slam tennis winner Andy Murray Formula 1 champion Lewis Hamilton deserves to join him as a British sporting knight.,a British sporting knight.,三届大满贯网球得主安迪穆雷一级方程式冠军刘易斯汉密尔顿当之无愧地加入他作为英国体育骑士的行列。,英国运动骑士。,,True
"The home appliances and the book , audio and video industries grabbed the second and third positions on the list.",The home appliances,家电行业和图书音像行业分列二、三位。,家用电器,,True
"urban dwellers ' happiness , confusions , illusions and psychological battles.",urban dwellers,都市人的幸福、迷茫、幻想和心理斗争。,城市居民,,True
