S_s,S_f,T_s,T_f,Limitation-B,Limitation-structure
"The event attracted 285 enterprise from 30 countries, a number more than previous years.","The event attracted 285 enterprise from 30 countries, a number more than previous years due to the competition.",该活动吸引了来自30个国家的285家企业，比往年有所增加。,本次活动吸引了来自30个国家的285家企业，由于竞争，这一数字比往年有所增加。,True,
"The cars are incredible, in particular how they're made, and the craftsmanship, the energy that goes into them, the power.","The cars are incredible, in particular how they're made, and the craftsmanship, the energy that goes into them, the power, the team.",这些汽车令人难以置信，尤其是它们的制造方式，工艺，能量，动力。,这些汽车令人难以置信，尤其是它们的制造方式，工艺，投入的能量，动力，团队。,True,
The Federal Communications Commission ( FCC ) will draft regulations intended for social media companies following a petition earlier this year by the Trump administration.,"The Federal Communications Commission ( FCC ) will draft regulations intended for social media companies following a petition earlier this year by the Trump administration, the agency's spokesperson said Thursday.",联邦通信委员会将在今年早些时候特朗普政府的请愿书之后起草针对社交媒体公司的法规。,美国联邦通信委员会发言人周四表示，在特朗普政府今年早些时候请愿后，将起草针对社交媒体公司的法规。,True,
"Responsible for meeting and greeting visiting groups and dignitaries, he leads tours of the city and embodies the enduring hold of the city.","Responsible for meeting and greeting visiting groups and dignitaries, he leads tours of the city and embodies the enduring hold of the city that draws most tourists here.",他负责会见和问候来访的团体和政要，带领城市之旅，体现了这座城市的持久存在。,他负责会见和迎接来访的团体和政要，带领城市之旅，体现了这座城市的持久影响力，吸引了大多数游客来到这里。,,True
"Priscilla Chan always knew her life's work would be helping children, but she didn't anticipate having billions of dollars at her disposal to try and change the fate.","Priscilla Chan always knew her life's work would be helping children, but she didn't anticipate having billions of dollars at her disposal to try and change the fate of an entire family.",Priscilla Chan一直知道她一生的工作就是帮助孩子，但她没想到会有数十亿美元可供她支配，试图改变命运。,普莉希拉·陈一直知道她一生的工作就是帮助孩子，但她没想到会有数十亿美元可供她支配，试图改变整个家庭的命运。,,True
"On Saturday night after driving back from Houston, I started feeling a bit of a sore throat.","On Saturday night after driving back from Houston, I started feeling a bit of a sore throat and a headache.",星期六晚上从休斯顿开车回来后，我开始感到喉咙有点痛。,星期六晚上从休斯顿开车回来后，我开始感到喉咙痛和头痛。,True,
Cooke was an early casualty of an accident that proved merciless in destroying some of its most luminous artistic.,Cooke was an early casualty of an accident that proved merciless in destroying some of its most luminous artistic and political works in their prime.,库克是一场事故的早期受害者，事实证明，这场事故无情地摧毁了一些最辉煌的艺术。,库克是一场事故的早期受害者，这场事故被无情地摧毁了鼎盛时期的一些最辉煌的艺术和政治作品。,True,
The top science cities are those whose institutions collectively publish the most output in the 82 major journals.,The top science cities are those whose institutions collectively publish the most output in the 82 major journals recognized by the Nature Index.,顶级科学城市是那些在82种主要期刊上发表最多产出的机构。,顶级科学城市是那些在自然指数认可的82种主要期刊中集体发表最多产出的城市。,True,
"Since COVID-19 appeared, traditional Chinese medicine has taken center stage, and in line with public health needs and awareness the disease.","Since COVID-19 appeared, traditional Chinese medicine has taken center stage, and in line with public health needs and awareness the disease has been to the very quintessential health regime.",自COVID-19出现以来，传统中医药已成为中心舞台，并符合公共卫生需求和对疾病的认识。,自 COVID-19 出现以来，传统中医药一直占据中心舞台，并且根据公共卫生需求和意识，该疾病已成为非常典型的健康制度。,,True
"Democratic presidential nominee Joe Biden attacked President Donald Trump's handling of the coronavirus pandemic on Thursday, as the two candidates held the televised town halls.","Democratic presidential nominee Joe Biden attacked President Donald Trump's handling of the coronavirus pandemic on Thursday, as the two candidates held the televised town halls after their second planned debate was canceled.",民主党总统候选人乔·拜登周四抨击了唐纳德·特朗普总统对冠状病毒大流行的处理方式，当时两位候选人举行了电视转播的市政厅。,民主党总统候选人乔·拜登周四抨击了唐纳德·特朗普总统对冠状病毒大流行的处理方式，因为两位候选人在第二次计划辩论被取消后举行了电视转播的市政厅。,,True
"On that occasion, defending champions Mumbai were comfortable winners, securing a automatic passage to the final.","On that occasion, defending champions Mumbai were comfortable winners, securing a automatic passage to the final and qualifying Delhi to a second-chance meeting with Sunrisers.",当时，卫冕冠军孟买轻松获胜，自动进入决赛。,在那一次比赛中，卫冕冠军孟买轻松获胜，确保了自动进入决赛的通道，并获得了与Sunrisers第二次机会相遇的德里资格。,True,
"On some level, the tale stokes a primal fear, with the narrator a version of a universal bogey man.","On some level, the tale stokes a primal fear, with the narrator a version of a universal bogey man that seems to haunt us.",在某种程度上，这个故事激起了一种原始的恐惧，叙述者是一个普遍的柏忌人的版本。,在某种程度上，这个故事激起了一种原始的恐惧，叙述者是一个普遍的妖怪的版本，似乎困扰着我们。,,True
"In the morning, people fear that their lips will crack if they don't eat persimmons.","In the morning, people fear that their lips will crack if they don't eat persimmons during this period.",早上，人们担心不吃柿子会嘴唇破裂。,早上，人们担心如果在此期间不吃柿子，他们的嘴唇会破裂。,True,
He said the initial few days were difficult to deal with as players adjust to their new settings.,He said the initial few days were difficult to deal with as players adjust to their new settings and suffered from time lag.,他说，随着玩家适应新设置，最初的几天很难处理。,他说，最初的几天很难处理，因为玩家正在适应他们的新设置，并且存在时间滞后。,,True
Frost's Descent is the last solar term of time.,"Frost's Descent is the last solar term of time, during which time the weather gets much colder than before and frost begins to appear.",弗罗斯特的下降是时间的最后一节气。,弗罗斯特的下降是最后一个节气，在此期间，天气变得比以前冷得多，霜开始出现。,True,
As the city careens toward election day fears are bubbling up about the election interference.,As the city careens toward election day fears are bubbling up about the election interference from a fresh source : ransomware.,随着该市逐渐接近选举日，人们对选举干预的担忧正在冒泡。,随着城市接近选举日，人们对来自新来源的选举干预的担忧正在冒泡：勒索软件。,True,
While Simon is happy that his passion has become a money-spinner.,"While Simon is happy that his passion has become a money-spinner, he did not expect the coronavirus outbreak to result in a windfall.",虽然西蒙很高兴他的热情变成了赚钱的人。,虽然西蒙很高兴他的热情变成了赚钱的旋转器，但他没想到冠状病毒的爆发会带来意外之财。,,True
"Tossing the wok allows better mixing, which is essential.","Tossing the wok allows better mixing, which is essential when you have super high humidity.",搅拌炒锅可以更好地混合，这是必不可少的。,扔炒锅可以更好地混合，这在湿度超高时至关重要。,,True
"The Nobel Peace Prize is decided, as Nobel prize, by the Norwegian Nobel Committee.","The Nobel Peace Prize is decided, as Nobel prize, by the Norwegian Nobel Committee, with five members appointed by the Norwegian Parliament.",诺贝尔和平奖由挪威诺贝尔委员会决定，作为诺贝尔奖。,诺贝尔和平奖由挪威诺贝尔委员会决定，由挪威议会任命五名成员。,True,
Northwest China stands out as a tourist destination since COVID-19 has been put under control.,Northwest China stands out as a tourist destination since COVID-19 has been put under control nationwide.,自 COVID-19 得到控制以来，中国西北地区已成为一个旅游目的地。,自 COVID-19 在全国范围内得到控制以来，中国西北地区作为一个旅游目的地脱颖而出。,True,
Foreign publishing houses are also preparing themselves to meet the new demand.,Foreign publishing houses are also preparing themselves to meet the new demand in competition with local Chinese companies.,外国出版社也在准备满足新的需求。,外国出版社也在准备迎接与中国本土公司竞争的新需求。,,True
"Each kit contains a packet of assorted vegetable seeds, an accompanying brochure and sample designs for use, respectively.","Each kit contains a packet of assorted vegetable seeds, an accompanying brochure and sample designs for use, respectively and community gardens.",每个套件分别包含一包各种蔬菜种子、随附的小册子和样品设计。,每个工具包都包含一包各种蔬菜种子、随附的小册子和样品设计，分别供社区花园使用。,,
"Cities in the Americas, Africa and Eastern Europe have become less expensive since last decade.","Cities in the Americas, Africa and Eastern Europe have become less expensive since last decade, while Western European cities have become costlier.",自过去十年以来，美洲、非洲和东欧的城市已经变得不那么昂贵。,自过去十年以来，美洲、非洲和东欧的城市变得更便宜，而西欧城市的成本则变得更高。,,True
"At least 22 people, all students, were killed and another 27 injured.","At least 22 people, all students, were killed and another 27 injured when three gunmen entered the university on Monday.",至少有22人，全部是学生，被杀，另有27人受伤。,周一，当三名枪手进入大学时，至少有22人（所有学生）被杀，另有27人受伤。,True,
A St. Cloud woman was arrested on Thursday after prostituting her three teenage daughters.,A St. Cloud woman was arrested on Thursday after prostituting her three teenage daughters to two deputies.,周四，一名圣克劳德妇女在嫖娼她的三个十几岁的女儿后被捕。,周四，一名圣克劳德妇女在向两名代表卖淫后被捕。,True,
I have already had a few calls with the tour's medical team and got all the support.,I have already had a few calls with the tour's medical team and got all the support and advice they have given me.,我已经与旅行团的医疗团队打了几个电话，并得到了所有的支持。,我已经与巡演的医疗团队打了几个电话，并得到了他们给我的所有支持和建议。,,True
Also this year the BBC announced an organisation-wide voluntary redundancy scheme.,Also this year the BBC announced an organisation-wide voluntary redundancy scheme to help it meet its stringent savings target.,同样在今年，BBC宣布了一项全组织范围的自愿裁员计划。,同样在今年，英国广播公司宣布了一项全组织的自愿裁员计划，以帮助其实现严格的储蓄目标。,,True
