S_s,S_f,T_s,T_f,Limitation-B,Limitation-text
A railway line used in Prince Charles ' investiture at Caernarfon in 1969,Prince Charles ' investiture,1969年查尔斯王子在卡那封就职时使用的一条铁路线,查尔斯王子就职典礼,,True
"When I was watching other leg - spinners a few years back , I would never dream that sometime in the future I will be someone else ' s role model.",other leg - spinners,几年前，当我在看另一条腿旋转器时，我做梦也想不到，在未来的某个时候，我会成为别人的榜样。,其他支腿 - 旋转器,,True
the first wave of the virus in the next six weeks.,the next six weeks.,未来六周内的第一波病毒。,接下来的六周。,,True
"The cars are incredible , in fact how they ' re made , watching the craftsmanship , the work that goes into them , the technology , the team.","the craftsmanship , the work that goes into them",这些汽车令人难以置信，事实上它们是如何制造的，观察工艺，进入它们的工作，技术，团队。,工艺，进入其中的工作,,True
Search and rescue operations have been going on around the clock in the debris of a total of eight collapsed buildings in the city.,the debris of a total of eight,搜救行动一直在该市总共八座倒塌建筑物的废墟中全天候进行。,残骸共8个,,True
"Responsible for meeting and greeting visiting dignitaries and dignitaries , he leads tours of the city and embodies the enduring hold of the legend that draws most travellers here.",the legend that draws most travellers here.,他负责会见和问候来访的政要和政要，带领城市之旅，体现了吸引大多数游客的持久传说。,吸引大多数旅行者的传说。,,True
Covid - 19 test results as many in the Trump administration ' s central strategy,many in the Trump administration ' s central strategy,Covid - 19 测试结果与特朗普政府的核心战略一样多,特朗普政府的核心战略中的许多人,,
"It also mentions that the year marks the 20th anniversary of SCO , and activities like art exhibitions , film festivals , student football tournament and boxing tournament will be held in member countries.",student football tournament,它还提到今年是上合组织成立20周年，成员国将举办艺术展览、电影节、学生足球比赛和拳击比赛等活动。,学生足球锦标赛,,True
"In the summer of 1988 , lee took chuck and two of his bandmates to lunch in Greenwich Village and asked them to write an anthem.",lunch in Greenwich Village,1988年夏天，李带查克和他的两个乐队成员去格林威治村吃午饭，并请他们写一首国歌。,在格林威治村享用午餐,,True
a lot about each nation ' s distinct character.,each nation ' s distinct character.,很多关于每个国家的独特性格。,每个国家都有鲜明的性格。,,True
"Any vaccines which are determined for use will undergo a vigorous series of safety checks , they will be absolutely safe for the public to use.",a vigorous series of safety checks,任何确定使用的疫苗都将经过一系列严格的安全检查，公众使用绝对安全。,一系列强有力的安全检查,,True
"A tougher three - tiered system of local restrictions will come into force in England when the lockdown ends on 2 December , Downing Street has said.",A tougher three - tiered system,唐宁街表示，当封锁于12月2日结束时，更严格的三级地方限制制度将在英格兰生效。,更严格的三层系统,,True
"programmes , which can have a negative impact for both men and women.",a negative impact for both men and women.,计划，这可能对男性和女性产生负面影响。,对男性和女性都有负面影响。,,True
"Travelers can also opt for small islands on the lake , where karst landscape and monkeys can be spotted.",karst landscape and monkeys,游客还可以选择湖上的小岛，在那里可以看到喀斯特景观和猴子。,喀斯特地貌和猴子,,True
"The ministers renewed the discussion of new fiscal rules , which was disrupted by the pandemic early this year.",the pandemic early this year.,部长们重新讨论了新的财政规则，该规则在今年年初因大流行而中断。,今年年初的疫情。,,True
"The horse received immediate veterinary care , however he was able to be saved due to the nature of the injury sustained.",the nature of the injury sustained.,这匹马立即接受了兽医护理，但由于受伤的性质，他得以得救。,所受伤害的性质。,,True
The figures came as England is set to enter a month - long lockdown from Thursday in a bid to quell the resurgence of the coronavirus.,a bid to quell the resurgence of the coronavirus.,这些数字是在英格兰将从周四开始进入一个月的封锁期，以平息冠状病毒的卷土重来之际发布的。,试图平息冠状病毒的卷土重来。,,True
"The cash injection will help with the construction and maintenance costs of St Paul ' s , which is normally a huge tourist attraction.",the construction and maintenance costs,现金注入将有助于支付圣保罗的建设和维护费用，圣保罗通常是一个巨大的旅游景点。,施工和维护成本,,
the fine balance between controlling the spread and allowing their vital tourism industry to operate safely.,their vital tourism industry,控制传播和允许其重要的旅游业安全运营之间的微妙平衡。,他们重要的旅游业,,True
the piper a version of a universal bogey man that continues to haunt us.,the piper a version of a universal bogey man,吹笛者 一个普遍的柏忌人的版本，继续困扰着我们。,吹笛者 一个通用的柏忌人版本,,True
a long - standing form of art,a long - standing form,一种历史悠久的艺术形式,长期存在的形式,,True
"As the temperature gradually decreases , some animals begin to hibernate and most plants fall into a long period of dormancy.",a long period of dormancy.,随着温度逐渐降低，一些动物开始冬眠，大多数植物进入长时间的休眠状态。,长期的休眠期。,,True
"As countries restrict travel to help slow the spread of coronavirus , some separated couples are meeting each other at their nations ’ closed borders.",their nations ’ closed borders.,随着各国限制旅行以帮助减缓冠状病毒的传播，一些分居的夫妇在各自国家的封闭边境见面。,他们国家的边界关闭。,,True
"While the mash portion of this dish is fairly straightforward , it ' s the same that makes it an enduring comfort food go - to.",an enduring comfort food,虽然这道菜的醪液部分相当简单，但它也使它成为一种持久的舒适食物。,经久不衰的舒适食品,,True
"While Simon is happy that his passion has become a money - spinner , he did not expect the coronavirus pandemic to result in a windfall.",a money - spinner,虽然西蒙很高兴他的激情变成了金钱旋转器，但他没想到冠状病毒大流行会带来意外之财。,一个钱 - 旋转器,,True
"The NHS is setting up coronavirus vaccination centres across the UK in preparation for any jab being approved , Health Secretary Matt Hancock has said.",Health Secretary Matt Hancock,英国卫生大臣马特·汉考克表示，NHS正在英国各地建立冠状病毒疫苗接种中心，为任何疫苗获得批准做准备。,卫生部长马特·汉考克,,True
"The Chinese embassy urged Chinese residents , students and teachers in local Chinese enterprises to abide by Austrian police rules and stay at home to ensure their safety.",Austrian police rules,中国大使馆敦促中国居民、中国当地企业的学生和教师遵守奥地利警方的规定，待在家里，以确保他们的安全。,奥地利警察规则,,True
The Champions League returns after a three - week break as we reach the business end of the group stages.,a three - week break,欧冠在休息三周后回归，因为我们到达了小组赛阶段的业务结束。,三周的休息时间,,True
She will for the first time next February at a training camp where the initial squad will start to be cut.,the first time next February,明年2月，她将首次参加训练营，最初的阵容将开始裁员。,明年2月第一次,,True
People in the green area cannot conduct any close contact with those having credentials in other colors.,People in the green area,绿色区域的人不能与拥有其他颜色证书的人进行任何密切接触。,绿地里的人,,True
Foreign publishing houses are also preparing themselves to meet the new demand in cooperation with local Chinese companies.,local Chinese companies.,外国出版社也在准备与中国本土公司合作，以满足新的需求。,中国本土企业。,,True
Comedian Alex Brooker and others with hand and arm impairments have accused the film of being insensitive towards disabled people.,others with hand and arm impairments,喜剧演员亚历克斯·布鲁克和其他手部和手臂残疾的人指责这部电影对残疾人不敏感。,其他手部和手臂损伤,,True
Zhang says he expects the fair to make Yichang and its citrus fruits more known to its customers.,the fair to make Yichang and its citrus fruits,张说，他希望展会能让客户更多地了解宜昌及其柑橘类水果。,宜昌及其柑橘类水果的博览会,,True
They try to be optimistic about the prospect of rolling out such an unprecedented immunization plan.,such an unprecedented immunization plan.,他们试图对推出这样一项前所未有的免疫计划的前景持乐观态度。,这样一个史无前例的免疫计划。,,True
The best thing about this fun film,The best thing,这部有趣的电影最棒的地方,最好的事情,,True
"Tens of thousands of these products could have been sold via online marketplaces , it seems.",Tens of thousands of these products,似乎有数以万计的这些产品可以通过在线市场出售。,数以万计的此类产品,,True
"With its many empty streets , and history , colonial architecture and stunning seaside location , remote Cossack is an offbeat but rewarding tourist attraction.",its many empty streets,偏远的哥萨克拥有许多空旷的街道、历史、殖民时期的建筑和迷人的海滨位置，是一个另类但有益的旅游景点。,它许多空荡荡的街道,,True
"The home appliances and the book , audio and video industries grabbed the second and third positions on the list.",The home appliances,家电和图书、音视频行业分列榜单第二、第三位。,家用电器,,True
"road shows , holding national and regional conferences , and organizing exhibition and incentive trips.",holding national and regional conferences,路演，举办国家和地区会议，组织展览和奖励旅游。,举行国家和区域会议,,True
